                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1377,                 2.3312,                0.20725,                0.92622,                 1.3956,                0.91872,                0.92857,                0.90738,                0.68502,                      1,                0.62378,                0.65242,                0.36649,                0.87316,                 3.6056,                0.31924,                0.53285,                 1.0269,                      0,                      0,                      0
                      2,                 1.7585,                 4.9561,                0.43112,                 2.3097,                 1.6579,                0.91573,                0.92857,                0.90735,                0.69437,                0.95163,                0.64286,                0.65232,                0.35312,                0.86565,                 3.6229,                0.32621,                0.54778,                  1.028,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                0.96842,                 2.9893,                0.36476,                0.70991,                 1.1217,                0.91359,                0.92857,                0.94583,                0.70002,                0.96946,                0.64286,                0.65228,                 0.3472,                0.85674,                 3.6527,                 0.3306,                 0.5679,                 1.0288,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                0.91655,                 2.0688,                0.26099,                0.66704,                 1.0852,                0.91577,                0.92857,                0.94583,                 0.7054,                0.98914,                0.64286,                0.69816,                0.33932,                0.84664,                 3.6588,                0.33498,                0.58218,                  1.031,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.1641,                 2.3317,                0.35488,                0.89138,                 1.2651,                0.88217,                0.85714,                0.93721,                0.69735,                0.99571,                0.64286,                0.65235,                0.31082,                0.86019,                  3.716,                0.34124,                0.61602,                 1.0377,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.0363,                 2.7237,                0.29513,                0.55872,                   1.28,                0.87286,                0.78571,                0.91352,                 0.6891,                0.88714,                0.56241,                0.56621,                0.27683,                0.87499,                 3.7434,                0.34917,                0.63717,                 1.0546,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.3813,                 3.3517,                0.42338,                0.98673,                 1.3448,                0.73601,                0.79717,                 0.8719,                0.65086,                0.60935,                0.35714,                0.34645,                 0.2369,                0.93729,                 3.9158,                0.37063,                0.69032,                 1.1096,             0.00011287,             0.00011287,             0.00011287
                      8,                 1.6003,                 3.4617,                0.40179,                  1.352,                 1.3146,                0.69308,                0.78571,                0.86166,                0.63686,                0.60331,                0.35714,                0.39977,                0.23406,                0.98301,                 4.0432,                0.38679,                0.76266,                 1.1334,              0.0001303,              0.0001303,              0.0001303
                      9,                   1.37,                 3.5612,                0.38297,                 1.1455,                 1.3283,                0.69636,                0.82015,                 0.8515,                 0.6038,                0.60071,                0.35714,                 0.3719,                0.22002,                 1.0425,                 4.2016,                0.39489,                0.85226,                 1.1636,             0.00014733,             0.00014733,             0.00014733
                     10,                0.81288,                 2.6762,                0.33095,                0.70907,                  1.085,                0.97154,                0.57143,                0.78534,                0.59333,                0.38283,                0.42857,                0.31488,                0.21479,                 1.0649,                 4.3186,                0.39357,                0.90142,                 1.1741,             0.00016396,             0.00016396,             0.00016396
